Unnamed: 0,更新时间,标题/题目,作者,摘要,sentiment
0,2019-11-01 14:27:51,勘察设计行业工作都很煎熬吗？,攻城狮,现在很多从业者确实坚持的很辛苦、很累，勘察设计工作已经是一个需要兼顾体力和脑力的行业了，像干设计的，基本工资很低，主要靠项目奖金，国企还好一些，能够及时兑现，当然也有个别的无耻国企单位，就像被爆出的中字头某设计单位更有一些私人老板，年底随便找个理由就可以随意扣减奖金，甚至不发，更有甚者，奖金拖上一年多才发，导致很多人有怨言又不能随意离开，只能默默忍受搞技术的确实出力不讨好，而且在现行的各种政策下，担的责任还很大，趁年轻搞几年技术就行了，多认识些朋友，积累点关系，考下证书，赶紧转型管理岗位或者经营岗位,0.9955141916081952
1,2019-11-04 11:44:37,《丈夫得了抑郁症》：“如果痛苦的话，就不要努力了”,精读君,当你面对难以完成的工作任务，感到沮丧时，一个声音会在脑海里煽风点火：“你真差劲你什么都做不好你就是个废物你完蛋了”于是，除了现实的痛苦之外，你还要遭受自我评判带来的折磨寻求解决方案在处理感受、停止内耗并提出了一个正确的问题后，我们会在理智的引导下寻找解决方案，并做出甄别判断，最终选择一个可行的方案朋友说，自己最近压力很大，有时候明明什么都没做，但就是感觉特累：容易疲劳、注意力不集中、反应速度下降、记忆力变差许多职场人都有这样的体验，明明每天都是坐上了一天班，却感觉像是跑完一场马拉松,0.9999999856835433
2,2019-11-04 17:35:33,如何忘记伤害你的人?,秋秋,以前的事情已经不能改变，我们能做好的事就是做好当下愤怒的情绪除了给他人警告，让他人停止不好的行为以外，没有什么其他正面的作用，让自己受伤不值当，尽量调整一下心情自私的人就是自私，坏的人就是坏，就像讨厌的蚊子一样是存在的，我们也没必要因此而纠结于阴暗面，多想想生活中的美好真正的勇士敢于直面黑暗，不想总面对那我们就去光明的地方除了顶端的个别人，每个人都有被欺负的时候，谁人生还能没点挫折呢前事不忘后事之师，以前的事情给了我们经验教训，却不是让我们念念不忘伤害自己我经常这个样子，想起来别人对自己不好的事，觉得自己为什么没有怼回去,0.9999996015405503
3,2019-11-13 14:08:29,回忆过去，只记得那些痛苦的记忆，快乐的记忆却想不起来，如何面对过去的痛苦回忆？,郑州大午心理,可能你的痛苦的经历在心里放的太大了，被黑暗的情绪遮挡了双眼，以至于没能发现生活中细细丝丝的甜《奇葩说》里有一句非常经典的对话，柏邦妮问：“心里有很多苦的人，需要多少甜才能把它填满在我成为咨询师的前几年，那时我还在上学，是个普通的悲观主义者，每次心情不好，总会从幼年时开始回忆，一桩桩一件件的委屈，一次又一次怀疑自己是否值得被爱，怀疑人际关系的信任感，怀疑自己的能力，一次又一次给自己确认要做一个冷漠的人,0.9999906346049305
4,2019-11-18 09:37:20,喜欢上有妇之夫，但我绝对不会做小三，但是你明白我的难过吗？,李力菲,其实喜欢一个人很正常，无关他婚否，只是未婚的话你大可以放心追求，已婚的话就别打扰了，喜欢他并不是要得到他啊，电视剧里不都说真正喜欢一个人是希望他幸福嘛，衷心祝福他家庭美满，不正正维护了他在你心目中那个正能量、幽默的完美人设吗我想他对你好，可能出于他的修养，他的阅历，他的世故，所以他不会对一个女孩子有过多的苛求，不会像一般男生那样嫌弃你胖，也许，他也嫌弃你胖，出于礼貌并不表现出来，反正也没想过追求你，又已婚，何不做得体面一点来支撑他爱家爱老婆对同事又的人设或者你发现其实他没有那么正能量，鼓励人的话都不是出于真心的，你会不会更难受,0.9999999997312001
5,2019-11-20 10:47:16,历史上有那些称的上地狱的真实故事 或者现在生活中的？ 又是什么人创造了这个地狱？存在目的又是？,不友善,有太多杀人的理由和被杀的原因了，还可能就是运气不好，遇上了瘟疫饥荒咱不谈集中营，宗教裁判所，诏狱，渣滓洞白宫馆这种专门上刑的地方，他还不去19世纪欧洲的精神病院，从电击到水刑，他们把这叫“治疗”军队拿人肉当军粮都不新鲜，五胡乱华时的羌人军队掳掠汉人妇女，白天做工晚上奸淫没军粮了就杀了吃掉,0.24601489581395541
6,2019-11-23 11:12:07,怎么才能开心起来，我对生活要绝望了?,SelfKing,当然，由你的来信中，很容易想见你部分的心情，你表达的能力并不弱，由你的文字中，明明白白可以看见一个都市单身女子对于生命的无可奈何与悲哀，这种无可奈何，并不浮浅，是值得看重的你有一个正当的职业，租得起一间房间，容貌不差，懂得在上下班之余更进一步探索生命的意义，这都是很优美的事情，为何觉得自己卑微呢我会将房间粉刷成明朗的白色，给自己在窗上做上一幅美丽的窗帘，我在床头放一个普通的小收音机，在墙角做一个书架，给灯泡换一个温暖而温馨的灯罩，然后，我要去花市，仔细的挑几盆看了悦目的盆景，放在我的窗口,0.9999999561581961
7,2019-11-25 11:06:51,受不了家附近的火车鸣笛声怎么办？,老五,你太天真了吧，把你家拆了估计也不会改道不鸣笛安全生产鸣笛要求，鸣笛信号谁敢忽略，司机扣了工资你赔买房的时候，觉得便宜，买了住下以后，忘记当初为啥买这里的房子了,0.0005898826457811923
8,2019-11-25 12:09:56,受不了家附近的火车鸣笛声怎么办？,美少女壮士,如果只是晚上的话肯定不会二十多次鸣笛找个工作去上班，晚上戴消音耳塞会好很多，周末多出去走走，就算不跟朋友吃饭逛街看电影，也可以自己一个人去图书馆火车道是死的，人是活的呀用我妈的话说，活人还能让尿憋死了题主你不上班不上学的么,0.4607322576113396
9,2019-11-25 21:14:12,为什么每次跟父母打电话就很痛苦？,shmily,以前初中，高中的时候，但凡有一次考试不好，没达到他们的预期，他们不会安慰我，只会嘲讽我，说这样才能有前进的动力，（不行，又要哭了），所以现在只要他们给我打电话，我内心就会很拒绝也不知道在什么时候，不喜欢和父母打电话了，从小到大，父母对我都挺好的，但是最让我伤心的是，他们不理解我，从小事到大点的事情，没有一件事情理解过我但是这件事好像有点难,0.7930418612697199
10,2019-12-01 23:09:00,活在巨大的痛苦与自责当中,心理咨询师夏伟,现在所有的不开心、恐慌、忧郁、焦虑，都是过去的错误造成的所以，你们一直以为，自己现在的痛苦是过去错误的决定造成的很多人都在懊悔自己过去人生当中的几个重大决定，让自己活在巨大的痛苦与自责当中,0.9999522779310744
11,2019-12-04 15:29:50,荐书 | 接纳承诺疗法(ACT)：跳出头脑，融入生活,一隻鹿,”图片来源：主要通过六个核心流程来构筑心理灵活性：接纳自己的一切（面对自己的消极情绪、想法或是身体的不适感，愿意主动体验而不是回避压抑）认知解离（当出现一些负面想法的时候，不带评价地观察它们，而不是忙着给它们贴标签）保持正念（能够主动地将自己的注意力投注于当下外部世界或者是内心世界正在发生的事情，而不是沉浸在已经过去或是还没发生的事情上）以旁观者的角度观察自己（对自己的当下的意识活动保持关注）找到自己最为看中的人生目标承诺采取行动来实现自己的核心目标2019年4月，由中科院心理所祝卓宏教授牵头的第二届峰会在北京圆满落幕创始人海斯教授时隔27年之后再一次轻轻地来，又轻轻地走了，挥了挥衣袖，在江湖上留下了“跳出头脑，融入生活”的传说图片来源：网络海斯教授在课程中接着给出了他在《跳出头脑，融入生活》一书中的一个小练习：练习：痛苦没了，然后呢在海斯教授已发表46本著作中，《跳出头脑，融入生活》（）一书被《时代》杂志评为最畅销的心理自助书籍，风头最劲时曾一度盖过了《哈利波特》,1.0
12,2019-12-09 11:16:35,怎么让坚持一个事情没那么痛苦？,孙玲在美国,针对同样的事情例如学习英语、减肥、坚持运动等等，当你你亲眼见过一些人做到了甚至，你亲眼见过一些你知道确实有缺点的人竟然也做到了你的镜像神经元被刺激：你行，那我肯定也行所以当你与优秀的人或者已经拥有“你想要的技能”的人在一起的时候，你就会不由自主地发现或者感受到那项技能是很自然的，很实用的，没有它是根本不行甚至是完全不可能的当你决定去学习某个技能的时候，请静下心来从这两个方面去分析，找张纸和笔，罗列出去做这件事的意义和没有它的负面意义，最后再去多多接触拥有这项技能的人或人群，其实，真没所谓的坚持啦虽然希望看到多点人的正向反馈，但是，即使最后没有一个人去读，没有一个人告诉我这些东西有用，我也会坚持将这个事情做下去，这些外界因素是阻止不了我去做这个事情的，谁也不能阻止我做自己喜欢的事情,0.9999999999999798
